SpecimenID	SpectrumID	Spectro	SpeShort	Wing	Side	Spot	SpecimenID.MEB	SpecimenID.ADN	Tribe	Tip.Label	New.TipLabel	Genus	species	mimicry.ring
11-1002	11-1002_GEO1_FW_V_v1_1811346U1	1811346U1	GEO1	FW	V	s1	11-1002	11-1002		11_1002_GEO1	Geo_1		Geo1	agnosia
11-1002	11-1002_GEO1_FW_V_v2_1811346U1	1811346U1	GEO1	FW	V	s2	11-1002	11-1002		11_1002_GEO1	Geo_1		Geo1	agnosia
11-1002	11-1002_GEO1_FW_V_v3_1811346U1	1811346U1	GEO1	FW	V	s3	11-1002	11-1002		11_1002_GEO1	Geo_1		Geo1	agnosia
11-1002	11-1002_GEO1_FW_V_v4_1811346U1	1811346U1	GEO1	FW	V	s4	11-1002	11-1002		11_1002_GEO1	Geo_1		Geo1	agnosia
11-1002	11-1002_GEO1_FW_V_v5_1811346U1	1811346U1	GEO1	FW	V	s5	11-1002	11-1002		11_1002_GEO1	Geo_1		Geo1	agnosia
11-1065	11-1065_MOTH2_FW_V_v1_1811346U1	1811346U1	MOTH2	FW	V	s1	11-1065	11-1065		11_1065_MOTH2	Arctiinae_2		Arctiinae2	lerida
11-1065	11-1065_MOTH2_FW_V_v2_1811346U1	1811346U1	MOTH2	FW	V	s2	11-1065	11-1065		11_1065_MOTH2	Arctiinae_2		Arctiinae2	lerida
11-1065	11-1065_MOTH2_FW_V_v3_1811346U1	1811346U1	MOTH2	FW	V	s3	11-1065	11-1065		11_1065_MOTH2	Arctiinae_2		Arctiinae2	lerida
11-1065	11-1065_MOTH2_FW_V_v4_1811346U1	1811346U1	MOTH2	FW	V	s4	11-1065	11-1065		11_1065_MOTH2	Arctiinae_2		Arctiinae2	lerida
11-1065	11-1065_MOTH2_FW_V_v5_1811346U1	1811346U1	MOTH2	FW	V	s5	11-1065	11-1065		11_1065_MOTH2	Arctiinae_2		Arctiinae2	lerida
11-1116	11-1116_ITHOFLOR_FW_V_v1_1811346U1	1811346U1	ITHOFLOR	FW	V	s1	11-1116	11-1116		11_1116_ITHOFLO	Ithomiola_floralis_orange-tip	Ithomiola	floralis	aureliana
11-1116	11-1116_ITHOFLOR_FW_V_v2_1811346U1	1811346U1	ITHOFLOR	FW	V	s2	11-1116	11-1116		11_1116_ITHOFLO	Ithomiola_floralis_orange-tip	Ithomiola	floralis	aureliana
11-1116	11-1116_ITHOFLOR_FW_V_v3_1811346U1	1811346U1	ITHOFLOR	FW	V	s3	11-1116	11-1116		11_1116_ITHOFLO	Ithomiola_floralis_orange-tip	Ithomiola	floralis	aureliana
11-1116	11-1116_ITHOFLOR_FW_V_v4_1811346U1	1811346U1	ITHOFLOR	FW	V	s4	11-1116	11-1116		11_1116_ITHOFLO	Ithomiola_floralis_orange-tip	Ithomiola	floralis	aureliana
11-1116	11-1116_ITHOFLOR_FW_V_v5_1811346U1	1811346U1	ITHOFLOR	FW	V	s5	11-1116	11-1116		11_1116_ITHOFLO	Ithomiola_floralis_orange-tip	Ithomiola	floralis	aureliana
11-1127	11-1127_ITHOFLOR_FW_V_v1_1811346U1	1811346U1	ITHOFLOR	FW	V	s1	11-1127	11-1127		11_1127_ITHOFLO	Ithomiola_floralis_white-band	Ithomiola	floralis	agnosia
11-1127	11-1127_ITHOFLOR_FW_V_v2_1811346U1	1811346U1	ITHOFLOR	FW	V	s2	11-1127	11-1127		11_1127_ITHOFLO	Ithomiola_floralis_white-band	Ithomiola	floralis	agnosia
11-1127	11-1127_ITHOFLOR_FW_V_v3_1811346U1	1811346U1	ITHOFLOR	FW	V	s3	11-1127	11-1127		11_1127_ITHOFLO	Ithomiola_floralis_white-band	Ithomiola	floralis	agnosia
11-1127	11-1127_ITHOFLOR_FW_V_v4_1811346U1	1811346U1	ITHOFLOR	FW	V	s4	11-1127	11-1127		11_1127_ITHOFLO	Ithomiola_floralis_white-band	Ithomiola	floralis	agnosia
11-1127	11-1127_ITHOFLOR_FW_V_v5_1811346U1	1811346U1	ITHOFLOR	FW	V	s5	11-1127	11-1127		11_1127_ITHOFLO	Ithomiola_floralis_white-band	Ithomiola	floralis	agnosia
11-1879	11-1879_GEO3_FW_V_v1_1811346U1	1811346U1	GEO3	FW	V	s1	11-1879	11-1879		11_1879_GEO3	Geo_3		Geo3	agnosia
11-1879	11-1879_GEO3_FW_V_v2_1811346U1	1811346U1	GEO3	FW	V	s2	11-1879	11-1879		11_1879_GEO3	Geo_3		Geo3	agnosia
11-1879	11-1879_GEO3_FW_V_v3_1811346U1	1811346U1	GEO3	FW	V	s3	11-1879	11-1879		11_1879_GEO3	Geo_3		Geo3	agnosia
11-1879	11-1879_GEO3_FW_V_v4_1811346U1	1811346U1	GEO3	FW	V	s4	11-1879	11-1879		11_1879_GEO3	Geo_3		Geo3	agnosia
11-1879	11-1879_GEO3_FW_V_v5_1811346U1	1811346U1	GEO3	FW	V	s5	11-1879	11-1879		11_1879_GEO3	Geo_3		Geo3	agnosia
20455	20455_PSEUTIMN_FW_V_v1_1811346U1	1811346U1	PSEUTIMN	FW	V	s1	20455		Ithomiini	Pseudoscada_timna_utilla	Pseudoscada_timna_utilla	Pseudoscada	timna	agnosia
