Family	Subfamily	Tribe	Genus	species	ssp	MimicryRing	TipLabel	SpecimenID.Trans	SpecimenID.MEB	Collection location	Year	Measured spots used for link between mean transmittance and structures	ScaleForm	ScaleInsertion	ScaleColour	ScaleLength.mean	ScaleLength.sd	ScaleWidth.mean	ScaleWidth.dd	ScaleDensity.mean	ScaleDensity.sd	MembraneThick.mean	MembraneThick.sd	NanoType	NanoDensity.mean	NanoDensity.sd	B2.mean	B2.sd	B2tot.mean	B2tot.sd
Erebidae	Arctiinae	Arctiini	Dysschema	sp.		confusa	ME15_88_DYSSSP1	ME15-88	ME15-88	Peru, San Martin, Carachamera	2015	s2	lamellar	erected	coloured	111.54	2.37	31.55	3.65	301.93	3.43	1225.74	410.38	nipples	0.32	0.15	32.99	NA	12.59	11.81
Erebidae	Arctiinae	Arctiini	Hyalurga	egeon		lerida	ME16_67_HYALEGE	ME16-67	ME16-67	Peru, San Martin, Chazuta	2016	s2	lamellar	erected	coloured	82.09	4.57	21.87	1.44	650.30	77.43	690.48	224.88	nipples	0.71	0.13	2.56	NA	14.98	12.06
Erebidae	Arctiinae	Arctiini	Hyalurga	grandis		agnosia	TR17_17_HYALGRA	TR17-17	TR17-17	Peru, San Martin, Shapaja	2015	s3	lamellar	erected	coloured	107.42	30.68	11.97	2.63	725.66	63.44	583.04	133.18	nipples	1.77	0.01	5.80	NA	7.65	5.81
Erebidae	Arctiinae	Arctiini	Hypocrita	strigifera		blue	ME16_58_HYPOSTR	ME16-58	ME16-58	Peru, San Martin, Chazuta	2016	s2, s3, s5	lamellar	flat	transparent	107.36	1.66	84.45	5.30	152.34	20.27	1010.80	148.42	nipples	1.23	0.98	2.31	1.07	2.34	0.89
Erebidae	Arctiinae	Arctiini	Notophyson	tiresias		confusa	ME16_63_NOTOTIR	ME16-63	ME16-63	Peru, San Martin, Urahuasha	2016	s2	lamellar	flat	coloured	85.32	6.12	108.47	5.00	144.10	21.36	1864.49	602.64	absent	0.04	0.04	6.10	NA	7.23	0.72
Erebidae	Arctiinae			Arctiinae1		eurimedia	TR17_7_MOTH1	TR17-7	TR17-7	Peru, Loreto, Shucushyacu	2015	s2, s3	lamellar	flat	coloured	71.49	3.92	87.67	5.09	276.84	13.58	3085.06	454.88	absent	0.07	NA	0.43	0.39	2.91	4.61
Erebidae	Arctiinae			Arctiinae2		lerida	11_1065_MOTH2	11-1065	11-1065	Peru, San Martin, Tarapoto	2011	s1, s2	lamellar	erected	coloured	111.13	2.05	7.63	0.39	463.10	20.26	1487.68	660.50	nipples	0.30	0.08	24.13	1.57	20.93	7.65
Erebidae	Arctiinae			Arctiinae3		blue	ME16_15_METASP1	ME16-15	ME16-15	Peru, San Martin, Chazuta	2016	s4, s5	piliform	erected	coloured	102.02	12.73	2.34	0.19	153.04	11.10	1777.00	135.72	nipples	7.11	0.16	38.97	3.84	31.36	8.10
Geometridae	Ennominae			Geo1		agnosia	11_1002_GEO1	11-1002	11-1002	Peru, San Martin, Jepelacio	2011 ?	s3	lamellar	erected	coloured	65.49	7.19	17.82	3.25	563.97	37.39	711.43	118.33	nipples	1.58	0.11	29.16	NA	26.79	15.30
Geometridae	Ennominae			Geo2		agnosia	ME16_100_GEO2	ME16-100	ME16-100	Peru, San Martin, Rumiyacu	2016	s1, s2, s3	lamellar	erected	coloured	94.53	10.88	15.49	3.33	190.74	23.20	708.46	145.41	nipples	6.17	0.39	18.61	3.52	21.92	12.49
