Onde	Wshade
300	0
301	0
302	0
303	0
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	0
312	0
313	0
314	0
315	0
316	0
317	0
318	0.000181586
319	0.007715842
320	0.0179202
321	0.027081966
322	0.042220997
323	0.053576505
324	0.070761023
325	0.09025208
326	0.10601154
327	0.11399237
328	0.123094675
329	0.132430782
330	0.136650475
331	0.131344985
332	0.150422262
333	0.158778622
334	0.164083468
335	0.171509793
336	0.179696759
337	0.186261881
338	0.185591719
339	0.199175843
340	0.21174949
341	0.220759294
342	0.255195025
343	0.293273881
344	0.273434488
345	0.269763489
346	0.294941159
347	0.29495139
348	0.276093697
349	0.293643873
350	0.317070422
351	0.300309961
352	0.317652857
353	0.307748937
354	0.287425975
355	0.294567106
356	0.277544179
357	0.262671417
358	0.239498233
359	0.255794798
360	0.253445465
361	0.254325312
362	0.27161395
363	0.283017538
364	0.285478018
365	0.30530647
366	0.332716033
367	0.339534935
368	0.342798372
369	0.346253598
370	0.372574402
371	0.374828775
372	0.377784747
373	0.378685461
374	0.378761365
375	0.392905098
376	0.406326247
377	0.406533122
378	0.412349807
379	0.413294069
380	0.407278098
381	0.391384514
382	0.384842641
383	0.376161048
384	0.367310844
385	0.360089153
386	0.362842856
387	0.362735932
388	0.369503697
389	0.378842889
390	0.387076412
391	0.39825877
392	0.401426957
393	0.398978324
394	0.397548224
395	0.396247616
396	0.424385053
397	0.4480325
398	0.479714506
399	0.515918801
400	0.549744491
401	0.573332924
402	0.590843256
403	0.601375545
404	0.6126446
405	0.617327139
406	0.618659762
407	0.613812268
408	0.606531911
409	0.60851653
410	0.618981886
411	0.619795
412	0.619990206
413	0.625986236
414	0.627836332
415	0.622768874
416	0.619212395
417	0.613698753
418	0.610093546
419	0.604410848
420	0.596981047
421	0.589431522
422	0.585969249
423	0.581366718
424	0.576570121
425	0.566795012
426	0.556792478
427	0.549396895
428	0.533593045
429	0.526200092
430	0.521783174
431	0.52066642
432	0.527144443
433	0.533422709
434	0.544231274
435	0.552183891
436	0.561582521
437	0.566869884
438	0.571878166
439	0.576193467
440	0.580304389
441	0.584297193
442	0.588817755
443	0.593784402
444	0.596910043
445	0.59788377
446	0.602753255
447	0.606040543
448	0.608078397
449	0.609314774
450	0.609685884
451	0.611412171
452	0.609351332
453	0.60494242
454	0.602809369
455	0.601308987
456	0.599375889
457	0.597032158
458	0.592736799
459	0.588254908
460	0.587279825
461	0.58349485
462	0.578735966
463	0.575443618
464	0.572715966
465	0.566730511
466	0.559388896
467	0.553747236
468	0.547539267
469	0.542974912
470	0.541526296
471	0.539309947
472	0.537986025
473	0.53562463
474	0.53401
475	0.533921008
476	0.532876213
477	0.533873149
478	0.534630813
479	0.535679354
480	0.533429228
481	0.53042724
482	0.527428901
483	0.521128313
484	0.514232499
485	0.508833847
486	0.503481542
487	0.500237084
488	0.497940556
489	0.497810283
490	0.499814551
491	0.501267431
492	0.503567793
493	0.503244788
494	0.504141342
495	0.502119327
496	0.49953
497	0.496018275
498	0.490130216
499	0.483746083
500	0.478296929
501	0.471435381
502	0.465855773
503	0.460241092
504	0.456848384
505	0.455254966
506	0.454291386
507	0.453885093
508	0.453077549
509	0.451869179
510	0.450061623
511	0.447159424
512	0.441809715
513	0.436262746
514	0.429441263
515	0.422894532
516	0.416044238
517	0.410522435
518	0.406594784
519	0.404858304
520	0.404378339
521	0.403564148
522	0.402905697
523	0.403028504
524	0.401945009
525	0.401548181
526	0.398600746
527	0.396678854
528	0.395721746
529	0.394178704
530	0.393224661
531	0.392222056
532	0.391142362
533	0.389469315
534	0.386835755
535	0.384123277
536	0.380967449
537	0.377939012
538	0.373782432
539	0.370663126
540	0.367663312
541	0.364618758
542	0.361355434
543	0.359311855
544	0.357563904
545	0.355186047
546	0.353496166
547	0.351749405
548	0.35042273
549	0.34932133
550	0.34811889
551	0.346455081
552	0.344566932
553	0.342536241
554	0.339820301
555	0.336926192
556	0.333575808
557	0.330061427
558	0.326105824
559	0.322223909
560	0.319159979
561	0.315983898
562	0.313996862
563	0.31144795
564	0.308145209
565	0.304714416
566	0.300701377
567	0.296506072
568	0.29213698
569	0.288443307
570	0.28506641
571	0.282009697
572	0.279214853
573	0.277623536
574	0.27579263
575	0.27409034
576	0.273194327
577	0.272755815
578	0.272864266
579	0.273550438
580	0.273184332
581	0.273904548
582	0.274160767
583	0.273201023
584	0.269790884
585	0.265671045
586	0.260179579
587	0.252724173
588	0.244990793
589	0.238608934
590	0.233073499
591	0.230668131
592	0.229046284
593	0.228368446
594	0.228456369
595	0.229381728
596	0.230985981
597	0.231776971
598	0.232896094
599	0.234086446
600	0.235740095
601	0.237164006
602	0.238193574
603	0.239658193
604	0.239860485
605	0.240782624
606	0.240432379
607	0.240015066
608	0.238399834
609	0.237112726
610	0.234902841
611	0.233215523
612	0.231043998
613	0.229874607
614	0.228965149
615	0.2280284
616	0.225953779
617	0.225505926
618	0.224407037
619	0.223544719
620	0.223101325
621	0.22135276
622	0.219208059
623	0.215752134
624	0.212847921
625	0.209257669
626	0.206529814
627	0.203621694
628	0.201526725
629	0.199896853
630	0.198826326
631	0.199675101
632	0.200185478
633	0.200005629
634	0.200989752
635	0.201553611
636	0.20189917
637	0.201499739
638	0.201640902
639	0.201377897
640	0.201266316
641	0.199418617
642	0.197361433
643	0.194279271
644	0.191413516
645	0.188378412
646	0.184589457
647	0.181725342
648	0.179577283
649	0.177989725
650	0.176448872
651	0.175043171
652	0.174373585
653	0.173659155
654	0.172773425
655	0.171955755
656	0.172185168
657	0.17283015
658	0.174450571
659	0.175997378
660	0.178019507
661	0.179845645
662	0.180921036
663	0.181586098
664	0.181414073
665	0.181178799
666	0.180920321
667	0.180388556
668	0.179214295
669	0.17815
670	0.176887575
671	0.176014426
672	0.175090769
673	0.174518442
674	0.17458971
675	0.173430035
676	0.172097814
677	0.170787273
678	0.169154412
679	0.167333997
680	0.166740582
681	0.164750734
682	0.161711795
683	0.156936111
684	0.150292567
685	0.143343735
686	0.136415117
687	0.130771855
688	0.127222993
689	0.124941971
690	0.12487108
691	0.124377404
692	0.124720686
693	0.124973533
694	0.125020535
695	0.125072222
696	0.124898959
697	0.125129497
698	0.12446814
699	0.124131007
700	0.124170517
