Code	Genus	Species	sex	Veine	Aire	Nb.poils	Nb.pedicelles	densite.poil	densite.pedicelle	Zone	Repet
20237	Heterosais	nephele	f	V3	177861.8	20	22	112.4468548	123.6915403	ZD	M1
20237	Heterosais	nephele	f	V4	449071.6	15	30	33.40224588	66.80449176	ZP	M1
20237	Heterosais	nephele	f	V3	245799.8	27	27	109.8454921	109.8454921	ZD	M2
20237	Heterosais	nephele	f	V4	425199.2	12	22	28.22206627	51.74045483	ZP	M2
20369	Heterosais	nephele	m	V3	244498.7	27	27	110.430035	110.430035	ZD	M1
20369	Heterosais	nephele	m	V4	404210.5	4	22	9.895833978	54.42708688	ZP	M1
20369	Heterosais	nephele	m	V3	247087.9	10	29	40.47142737	117.3671394	ZD	M2
20369	Heterosais	nephele	m	V4	410635.2	1	24	2.435251532	58.44603677	ZP	M2
20545	Heterosais	nephele	m	V3	294928.8	14	27	47.46908406	91.54751927	ZD	M1
20545	Heterosais	nephele	m	V4	465710	23	27	49.38695755	57.97599364	ZP	M1
20545	Heterosais	nephele	m	V3	303023.3	14	27	46.20106771	89.10205915	ZD	M2
20545	Heterosais	nephele	m	V4	524540.5	19	24	36.22217922	45.75433165	ZP	M2
20675	Heterosais	nephele	f	V3	158908.3	25	30	157.3234375	188.788125	ZD	M1
20675	Heterosais	nephele	f	V4	417918.8	6	27	14.35685593	64.60585166	ZP	M1
20675	Heterosais	nephele	f	V3	99759.7	22	22	220.5299334	220.5299334	ZD	M2
20675	Heterosais	nephele	f	V4	465135.7	17	25	36.54847392	53.74775576	ZP	M2
20680	Heterosais	nephele	f	V3	300710.7	12	34	39.90546396	113.0654812	ZD	M1
20680	Heterosais	nephele	f	V4	375536	9	20	23.96574496	53.25721103	ZP	M1
20680	Heterosais	nephele	f	V3	287422.4	0	30	0	104.3759985	ZD	M2
20680	Heterosais	nephele	f	V4	337736.7	4	22	11.84354558	65.13950068	ZP	M2
20778	Heterosais	nephele	f	V3	174961.8	15	26	85.733	148.6038667	ZD	M1
20778	Heterosais	nephele	f	V4	358760.5	1	26	2.787374864	72.47174647	ZP	M1
20778	Heterosais	nephele	f	V3	129151.3	12	23	92.91427961	178.0857026	ZD	M2
20778	Heterosais	nephele	f	V4	318506.7	4	20	12.55860552	62.79302759	ZP	M2
GL07-179	Heterosais	nephele	f	V3	176844.5	26	31	147.0218186	175.2952453	ZD	M1
GL07-179	Heterosais	nephele	f	V4	241689.4	18	21	74.47575276	86.88837822	ZP	M1
GL07-179	Heterosais	nephele	f	V3	210490.1	4	31	19.00326904	147.275335	ZD	M2
GL07-179	Heterosais	nephele	f	V4	191742.2	18	18	93.87604815	93.87604815	ZP	M2
GL07-181	Heterosais	nephele	m	V3	299570.3	22	25	73.43852178	83.45286565	ZD	M1
GL07-181	Heterosais	nephele	m	V4	433655.1	23	26	53.03754066	59.95548075	ZP	M1
GL07-181	Heterosais	nephele	m	V3	282415.5	17	22	60.19499638	77.89940708	ZD	M2
GL07-181	Heterosais	nephele	m	V4	377055.7	21	22	55.69468914	58.34681719	ZP	M2
GL07-182	Heterosais	nephele	m	V3	304528.3	22	25	72.24287529	82.09417647	ZD	M1
GL07-182	Heterosais	nephele	m	V4	327212.1	19	22	58.06631234	67.23467745	ZP	M1
GL07-182	Heterosais	nephele	m	V3	309899.1	18	21	58.08342135	67.76399157	ZD	M2
GL07-182	Heterosais	nephele	m	V4	412498.3	18	25	43.63654347	60.60631038	ZP	M2
GL07-183	Heterosais	nephele	m	V3	346448.7	24	25	69.27432546	72.16075569	ZD	M1
GL07-183	Heterosais	nephele	m	V4	414821.5	21	21	50.62418414	50.62418414	ZP	M1
GL07-183	Heterosais	nephele	m	V3	312347.1	22	23	70.43446217	73.63602864	ZD	M2
GL07-183	Heterosais	nephele	m	V4	455856.8	22	22	48.26076961	48.26076961	ZP	M2
20385	Ithomia	agnosia	m	V3	77446.2	12	19	154.9462724	245.3315979	ZD	M1
20385	Ithomia	agnosia	m	V4	74714.3	10	18	133.8431866	240.917736	ZP	M1
20385	Ithomia	agnosia	m	V3	61790.7	9	16	145.6529866	258.9386429	ZD	M2
20385	Ithomia	agnosia	m	V4	91104	10	15	109.7646646	164.6469968	ZP	M2
20711	Ithomia	agnosia	f	V3	110592.6	17	27	153.7173373	244.1393005	ZD	M1
20711	Ithomia	agnosia	f	V4	124564.4	9	24	72.25178301	192.6714214	ZP	M1
20711	Ithomia	agnosia	f	V3	87536	21	25	239.9012978	285.596783	ZD	M2
20711	Ithomia	agnosia	f	V4	125341	0	19	0	151.5864721	ZP	M2
20773	Ithomia	agnosia	f	V3	94694	10	26	105.6033117	274.5686105	ZD	M1
20773	Ithomia	agnosia	f	V4	166696	18	34	107.9809953	203.9641023	ZP	M1
20773	Ithomia	agnosia	f	V3	156055.7	12	32	76.89562124	205.05499	ZD	M2
20773	Ithomia	agnosia	f	V4	222346.8	15	32	67.4621807	143.9193188	ZP	M2
CP17-1	Ithomia	agnosia	f	V3	58402.2	12	23	205.4717117	393.8207807	ZD	M1
CP17-1	Ithomia	agnosia	f	V4	97129	15	24	154.4337942	247.0940708	ZP	M1
CP17-1	Ithomia	agnosia	f	V3	58270.9	5	18	85.80612278	308.902042	ZD	M2
CP17-1	Ithomia	agnosia	f	V4	59510.8	14	19	235.2514165	319.2697796	ZP	M2
CP17-3	Ithomia	agnosia	f	V3	114747.1	16	36	139.4370751	313.733419	ZD	M1
CP17-3	Ithomia	agnosia	f	V4	123046.3	12	19	97.52426526	154.41342	ZP	M1
CP17-3	Ithomia	agnosia	f	V3	117898.3	13	25	110.2645246	212.0471627	ZD	M2
CP17-3	Ithomia	agnosia	f	V4	164413.6	20	35	121.6444382	212.8777668	ZP	M2
CP17-16	Ithomia	agnosia	m	V3	168505.3	12	32	71.21437723	189.905006	ZD	M1
CP17-16	Ithomia	agnosia	m	V4	169259.9	14	23	82.71303481	135.8857	ZP	M1
CP17-16	Ithomia	agnosia	m	V3	169957.3	24	36	141.2119397	211.8179096	ZD	M2
CP17-16	Ithomia	agnosia	m	V4	191448.6	9	26	47.01000686	135.8066865	ZP	M2
CP17-17	Ithomia	agnosia	m	V3	195138.9	14	27	71.74376816	138.3629814	ZD	M1
CP17-17	Ithomia	agnosia	m	V4	227430.4	25	40	109.9237393	175.8779829	ZP	M1
CP17-17	Ithomia	agnosia	m	V3	110835.7	0	23	0	207.5143659	ZD	M2
CP17-17	Ithomia	agnosia	m	V4	175117.6	9	25	51.39403464	142.7612073	ZP	M2
ME10-225	Ithomia	agnosia	m	V3	132001.4	11	27	83.3324495	204.5432851	ZD	M1
ME10-225	Ithomia	agnosia	m	V4	166154.4	11	38	66.20348303	228.7029414	ZP	M1
ME10-225	Ithomia	agnosia	m	V3	142710.3	13	35	91.09363515	245.2520946	ZD	M2
ME10-225	Ithomia	agnosia	m	V4	116696.7	11	25	94.2614487	214.2305652	ZP	M2
ME10-502	Ithomia	agnosia	m	V3	205254	14	32	68.20817134	155.9043916	ZD	M1
ME10-502	Ithomia	agnosia	m	V4	126519.7	16	27	126.4625193	213.4055013	ZP	M1
ME10-502	Ithomia	agnosia	m	V3	138793.2	16	34	115.2794229	244.9687737	ZD	M2
ME10-502	Ithomia	agnosia	m	V4	131241.2	12	27	91.43470191	205.7280793	ZP	M2
20260	Pseudoscada	timna	m	V3	84764.1	14	26	165.1642618	306.733629	ZD	M1
20260	Pseudoscada	timna	m	V4	113202.1	1	17	8.833758384	150.1738925	ZP	M1
20260	Pseudoscada	timna	m	V3	117310.9	1	23	8.524357072	196.0602126	ZD	M2
20260	Pseudoscada	timna	m	V4	148234.4	2	20	13.49214487	134.9214487	ZP	M2
20455	Pseudoscada	timna	f	V3	156435.8	30	39	191.7719601	249.3035482	ZD	M1
20455	Pseudoscada	timna	f	V4	374844.2	19	33	50.68772573	88.03657626	ZP	M1
20455	Pseudoscada	timna	f	V3	120569.8	18	30	149.291116	248.8185267	ZD	M2
20455	Pseudoscada	timna	f	V4	253458.7	18	24	71.01748727	94.68998302	ZP	M2
20490	Pseudoscada	timna	f	V3	125932.4	11	28	87.34845044	222.3415102	ZD	M1
20490	Pseudoscada	timna	f	V4	133293.5	0	20	0	150.0448259	ZP	M1
20490	Pseudoscada	timna	f	V3	119388.6	8	22	67.0080728	184.2722002	ZD	M2
20490	Pseudoscada	timna	f	V4	111166	4	18	35.98222478	161.9200115	ZP	M2
20678	Pseudoscada	timna	m	V3	130353.6	9	33	69.04297235	253.1575653	ZD	M1
20678	Pseudoscada	timna	m	V4	197068.9	11	26	55.8180413	131.9335522	ZP	M1
20678	Pseudoscada	timna	m	V3	145919.4	7	26	47.97168848	178.1805572	ZD	M2
20678	Pseudoscada	timna	m	V4	133841.7	11	28	82.18664288	209.2023637	ZP	M2
20688	Pseudoscada	timna	m	V3	155139.6	0	19	0	122.4703428	ZD	M1
20688	Pseudoscada	timna	m	V4	184996.9	0	18	0	97.29892771	ZP	M1
20688	Pseudoscada	timna	m	V3	146647.9	0	27	0	184.1144674	ZD	M2
20688	Pseudoscada	timna	m	V4	169515.2	0	23	0	135.6810481	ZP	M2
CP17-4	Pseudoscada	timna	m	V3	117527.1	25	28	212.7168968	238.2429244	ZD	M1
CP17-4	Pseudoscada	timna	m	V4	174150.2	10	27	57.4216969	155.0385816	ZP	M1
CP17-4	Pseudoscada	timna	m	V3	174156.7	22	23	126.3230183	132.0649737	ZD	M2
CP17-4	Pseudoscada	timna	m	V4	185652.8	15	20	80.79598045	107.7279739	ZP	M2
CP17-5	Pseudoscada	timna	m	V3	215294.8	20	30	92.89588044	139.3438207	ZD	M1
CP17-5	Pseudoscada	timna	m	V4	279190.1	20	23	71.63577792	82.3811446	ZP	M1
CP17-5	Pseudoscada	timna	m	V3	286194	22	30	76.8709337	104.8240005	ZD	M2
CP17-5	Pseudoscada	timna	m	V4	281315.9	21	21	74.64917554	74.64917554	ZP	M2
CP17-6	Pseudoscada	timna	f	V3	175561.4	25	29	142.4003226	165.1843742	ZD	M1
CP17-6	Pseudoscada	timna	f	V4	340152.9	21	27	61.73694242	79.37606882	ZP	M1
CP17-6	Pseudoscada	timna	f	V3	143666.4	27	31	187.9353836	215.7776627	ZD	M2
CP17-6	Pseudoscada	timna	f	V4	289441.4	17	26	58.73382315	89.82820011	ZP	M2
CP17-7	Pseudoscada	timna	f	V3	131304	21	25	159.9341985	190.3978554	ZD	M1
CP17-7	Pseudoscada	timna	f	V4	400861.9	22	26	54.88174356	64.86024239	ZP	M1
CP17-7	Pseudoscada	timna	f	V3	171371.8	14	23	81.6937209	134.2111129	ZD	M2
CP17-7	Pseudoscada	timna	f	V4	270540.9	2	24	7.39259757	88.71117084	ZP	M2
CP17-8	Pseudoscada	timna	f	V3	128404.1	21	4	163.5461796	31.15165326	ZD	M1
CP17-8	Pseudoscada	timna	f	V5	254312	16	22	62.91484476	86.50791154	ZP	M1
CP17-8	Pseudoscada	timna	f	V3	152787.8	19	25	124.3554786	163.6256298	ZD	M2
CP17-8	Pseudoscada	timna	f	V5	248145	21	27	84.62793931	108.8073505	ZP	M2
CP17-2	Ithomia	agnosia	f	V3	124529.3	16	35	128.4838187	281.0583533	ZD	M1
CP17-2	Ithomia	agnosia	f	V4	146093.2	4	18	27.37978222	123.20902	ZP	M1
CP17-2	Ithomia	agnosia	f	V3	107219.5	21	23	195.8598949	214.5132182	ZD	M2
CP17-2	Ithomia	agnosia	f	V4	211000	0	24	0	113.7440758	ZP	M2
