"Code"	"Genus"	"Species"	"sex"	"Veine"	"Poil"	"Type.Poil"	"LongueurTot1"	"LongueurTot2"	"LongueurEchancrure"	"Largeur.Base"	"Largeur.Echancrure1"	"Largeur.Echancrure2"
"20237"	"Heterosais"	"nephele"	"f"	"V3"	"P6"	"monofide"	209.06	NA	NA	4.16	NA	NA
"20237"	"Heterosais"	"nephele"	"f"	"V3"	"P7"	"monofide"	116.96	NA	NA	4.4	NA	NA
"20237"	"Heterosais"	"nephele"	"f"	"V3"	"P8"	"monofide"	196.14	NA	NA	4.68	NA	NA
"20237"	"Heterosais"	"nephele"	"f"	"V3"	"P9"	"monofide"	154.8	NA	NA	4.91	NA	NA
"20237"	"Heterosais"	"nephele"	"f"	"V3"	"P10"	"monofide"	144.24	NA	NA	4.43	NA	NA
"20237"	"Heterosais"	"nephele"	"f"	"V4"	"P1"	"monofide"	262.2	NA	NA	5.7	NA	NA
"20237"	"Heterosais"	"nephele"	"f"	"V4"	"P2"	"monofide"	260.6	NA	NA	4.1	NA	NA
"20237"	"Heterosais"	"nephele"	"f"	"V4"	"P3"	"monofide"	244.97	NA	NA	4.61	NA	NA
"20237"	"Heterosais"	"nephele"	"f"	"V4"	"P4"	"monofide"	200.1	NA	NA	5.7	NA	NA
"20237"	"Heterosais"	"nephele"	"f"	"V4"	"P5"	"monofide"	223.99	NA	NA	4.72	NA	NA
"20237"	"Heterosais"	"nephele"	"f"	"V4"	"P6"	"monofide"	186.02	NA	NA	4.11	NA	NA
"20237"	"Heterosais"	"nephele"	"f"	"V4"	"P7"	"monofide"	216.18	NA	NA	5.01	NA	NA
"20237"	"Heterosais"	"nephele"	"f"	"V4"	"P8"	"monofide"	199.44	NA	NA	5.22	NA	NA
"20237"	"Heterosais"	"nephele"	"f"	"V4"	"P9"	"monofide"	164.92	NA	NA	4.06	NA	NA
"20237"	"Heterosais"	"nephele"	"f"	"V4"	"P10"	"monofide"	232.31	NA	NA	4.82	NA	NA
"20369"	"Heterosais"	"nephele"	"m"	"V3"	"P6"	"monofide"	227.8	NA	NA	3.97	NA	NA
"20369"	"Heterosais"	"nephele"	"m"	"V3"	"P7"	"monofide"	232.08	NA	NA	5.38	NA	NA
"20369"	"Heterosais"	"nephele"	"m"	"V3"	"P8"	"monofide"	213.35	NA	NA	4.86	NA	NA
"20369"	"Heterosais"	"nephele"	"m"	"V3"	"P9"	"monofide"	183.88	NA	NA	5.29	NA	NA
"20369"	"Heterosais"	"nephele"	"m"	"V3"	"P10"	"monofide"	141.98	NA	NA	4.98	NA	NA
"20369"	"Heterosais"	"nephele"	"m"	"V4"	"P1"	"monofide"	316.5	NA	NA	7.5	NA	NA
"20369"	"Heterosais"	"nephele"	"m"	"V4"	"P2"	"monofide"	377.3	NA	NA	6.9	NA	NA
"20369"	"Heterosais"	"nephele"	"m"	"V4"	"P3"	"monofide"	188.87	NA	NA	4.97	NA	NA
"20369"	"Heterosais"	"nephele"	"m"	"V4"	"P4"	"monofide"	185.44	NA	NA	5.9	NA	NA
"20369"	"Heterosais"	"nephele"	"m"	"V4"	"P5"	"monofide"	176.41	NA	NA	5.51	NA	NA
"20369"	"Heterosais"	"nephele"	"m"	"V4"	"P6"	"monofide"	234.74	NA	NA	6.05	NA	NA
