"Code"	"Genus"	"Species"	"sex"	"Veine"	"Poil"	"Type.Poil"	"LongueurTot1"	"LongueurTot2"	"LongueurEchancrure"	"Largeur.Base"	"Largeur.Echancrure1"	"Largeur.Echancrure2"	"LongueurMoy"	"Largeur.Echancrure.Moy"
"20237"	"Heterosais"	"nephele"	"f"	"V3"	"P1"	"bifide"	87.76	95.32	17.38	4.35	4.13	4.32	91.54	4.225
"20237"	"Heterosais"	"nephele"	"f"	"V3"	"P2"	"bifide"	79.29	98.81	14.38	4.3	3.66	4.27	89.05	3.965
"20237"	"Heterosais"	"nephele"	"f"	"V3"	"P3"	"bifide"	81.79	85.24	19.47	4.14	3.66	3.88	83.515	3.77
"20237"	"Heterosais"	"nephele"	"f"	"V3"	"P4"	"bifide"	89.83	93.54	15.7	4.06	3.44	3.58	91.685	3.51
"20237"	"Heterosais"	"nephele"	"f"	"V3"	"P5"	"bifide"	87.27	91.72	15.42	3.77	3.67	3.97	89.495	3.82
"20369"	"Heterosais"	"nephele"	"m"	"V3"	"P1"	"bifide"	101.33	96.52	13.11	4.44	2.71	3.27	98.925	2.99
"20369"	"Heterosais"	"nephele"	"m"	"V3"	"P2"	"bifide"	99.2	116.01	21.35	4.8	3.19	3.36	107.605	3.275
"20369"	"Heterosais"	"nephele"	"m"	"V3"	"P3"	"bifide"	102.7	94.89	16.04	4.31	3.01	2.91	98.795	2.96
"20369"	"Heterosais"	"nephele"	"m"	"V3"	"P4"	"bifide"	87.94	105.28	15.58	3.92	3.19	2.96	96.61	3.075
"20369"	"Heterosais"	"nephele"	"m"	"V3"	"P5"	"bifide"	122.41	113.56	20.48	4.26	3.13	3.11	117.985	3.12
"20545"	"Heterosais"	"nephele"	"m"	"V3"	"P1"	"bifide"	93.05	97.01	20.27	3.74	2.4	2.73	95.03	2.565
"20545"	"Heterosais"	"nephele"	"m"	"V3"	"P2"	"bifide"	103.14	114.38	23.72	3.43	2.81	3.21	108.76	3.01
"20545"	"Heterosais"	"nephele"	"m"	"V3"	"P3"	"bifide"	110.46	114.6	21.87	4.03	2.73	3.22	112.53	2.975
"20545"	"Heterosais"	"nephele"	"m"	"V3"	"P4"	"bifide"	120.59	115.12	27.73	4.23	3	3.15	117.855	3.075
"20545"	"Heterosais"	"nephele"	"m"	"V3"	"P5"	"bifide"	113.53	111.45	18.72	3.97	3.2	2.85	112.49	3.025
"20675"	"Heterosais"	"nephele"	"f"	"V3"	"P1"	"bifide"	80.11	88.79	13.66	4.19	2.87	2.63	84.45	2.75
"20675"	"Heterosais"	"nephele"	"f"	"V3"	"P2"	"bifide"	105.01	100.31	12.8	4.1	3.09	2.99	102.66	3.04
"20675"	"Heterosais"	"nephele"	"f"	"V3"	"P3"	"bifide"	86.95	108.15	18.95	3.85	2.74	2.89	97.55	2.815
"20675"	"Heterosais"	"nephele"	"f"	"V3"	"P4"	"bifide"	110.62	116.23	18.05	3.74	2.92	3.38	113.425	3.15
"20675"	"Heterosais"	"nephele"	"f"	"V3"	"P5"	"bifide"	116.2	123.26	26.86	3.97	3.14	3.19	119.73	3.165
"20680"	"Heterosais"	"nephele"	"f"	"V3"	"P1"	"bifide"	104.52	105.7	13.36	4.47	3.19	3.35	105.11	3.27
"20680"	"Heterosais"	"nephele"	"f"	"V3"	"P2"	"bifide"	110.83	115.26	27.14	3.77	2.93	3.24	113.045	3.085
"20680"	"Heterosais"	"nephele"	"f"	"V3"	"P3"	"bifide"	116.8	112.74	23.3	4.56	3.78	3.33	114.77	3.555
"20778"	"Heterosais"	"nephele"	"f"	"V3"	"P1"	"bifide"	100.13	99.84	19.26	4.29	3.15	3.41	99.985	3.28
"20778"	"Heterosais"	"nephele"	"f"	"V3"	"P2"	"bifide"	106.1	120.05	19.28	4.24	3.22	3.33	113.075	3.275
"20778"	"Heterosais"	"nephele"	"f"	"V3"	"P3"	"bifide"	100.68	103.42	15.37	4.19	2.84	2.93	102.05	2.885
"20778"	"Heterosais"	"nephele"	"f"	"V3"	"P4"	"bifide"	96.76	104.55	26.41	3.94	2.87	2.64	100.655	2.755
"20778"	"Heterosais"	"nephele"	"f"	"V3"	"P5"	"bifide"	104.29	121.84	19.13	4.25	2.99	3.13	113.065	3.06
"GL07-179"	"Heterosais"	"nephele"	"f"	"V3"	"P1"	"bifide"	92.32	106.07	24.55	3.75	2.52	3.35	99.195	2.935
"GL07-179"	"Heterosais"	"nephele"	"f"	"V3"	"P2"	"bifide"	86.14	98.79	16.25	3.48	3.44	4.07	92.465	3.755
"GL07-179"	"Heterosais"	"nephele"	"f"	"V3"	"P3"	"bifide"	115.41	93.35	18.91	4.37	4.24	3.95	104.38	4.095
"GL07-179"	"Heterosais"	"nephele"	"f"	"V3"	"P4"	"bifide"	74.8	90.79	11.42	4.32	2.66	3.34	82.795	3
"GL07-179"	"Heterosais"	"nephele"	"f"	"V3"	"P5"	"bifide"	113.08	108.13	22.19	3.83	3.65	3.36	110.605	3.505
"GL07-181"	"Heterosais"	"nephele"	"m"	"V3"	"P1"	"bifide"	98.84	103.89	18.37	3.97	2.8	2.76	101.365	2.78
"GL07-181"	"Heterosais"	"nephele"	"m"	"V3"	"P2"	"bifide"	98.34	99.03	19.26	3.71	2.77	2.87	98.685	2.82
"GL07-181"	"Heterosais"	"nephele"	"m"	"V3"	"P3"	"bifide"	110.78	105.37	17.5	3.81	3.14	3.02	108.075	3.08
"GL07-181"	"Heterosais"	"nephele"	"m"	"V3"	"P4"	"bifide"	76.98	108.03	12.73	4.04	2.95	2.96	92.505	2.955
"GL07-181"	"Heterosais"	"nephele"	"m"	"V3"	"P5"	"bifide"	113.73	109.52	19.1	3.77	2.83	3.04	111.625	2.935
"GL07-182"	"Heterosais"	"nephele"	"m"	"V3"	"P1"	"bifide"	112.14	104.14	19.14	4.26	2.88	2.86	108.14	2.87
"GL07-182"	"Heterosais"	"nephele"	"m"	"V3"	"P2"	"bifide"	111.44	104.96	19.76	3.4	2.67	2.92	108.2	2.795
"GL07-182"	"Heterosais"	"nephele"	"m"	"V3"	"P3"	"bifide"	108.16	111.89	18.66	3.44	3.06	2.99	110.025	3.025
"GL07-182"	"Heterosais"	"nephele"	"m"	"V3"	"P4"	"bifide"	96.61	101.49	11.91	4.04	2.78	3.27	99.05	3.025
"GL07-182"	"Heterosais"	"nephele"	"m"	"V3"	"P5"	"bifide"	98.91	94.59	19.43	3.59	2.87	2.8	96.75	2.835
"GL07-183"	"Heterosais"	"nephele"	"m"	"V3"	"P1"	"bifide"	111.13	115.42	21.53	4.27	3.33	3.13	113.275	3.23
