Code	Genus	Species	sex	Veine	Poil	Type.Poil	LongueurTot1	LongueurTot2	LongueurEchancrure	Largeur.Base	Largeur.Echancrure1	Largeur.Echancrure2
20237	Heterosais	nephele	f	V3	P1	bifide	87.76	95.32	17.38	4.35	4.13	4.32
20237	Heterosais	nephele	f	V3	P2	bifide	79.29	98.81	14.38	4.3	3.66	4.27
20237	Heterosais	nephele	f	V3	P3	bifide	81.79	85.24	19.47	4.14	3.66	3.88
20237	Heterosais	nephele	f	V3	P4	bifide	89.83	93.54	15.7	4.06	3.44	3.58
20237	Heterosais	nephele	f	V3	P5	bifide	87.27	91.72	15.42	3.77	3.67	3.97
20237	Heterosais	nephele	f	V3	P6	monofide	209.06			4.16		
20237	Heterosais	nephele	f	V3	P7	monofide	116.96			4.4		
20237	Heterosais	nephele	f	V3	P8	monofide	196.14			4.68		
20237	Heterosais	nephele	f	V3	P9	monofide	154.8			4.91		
20237	Heterosais	nephele	f	V3	P10	monofide	144.24			4.43		
20237	Heterosais	nephele	f	V4	P1	monofide	262.2			5.7		
20237	Heterosais	nephele	f	V4	P2	monofide	260.6			4.1		
20237	Heterosais	nephele	f	V4	P3	monofide	244.97			4.61		
20237	Heterosais	nephele	f	V4	P4	monofide	200.1			5.7		
20237	Heterosais	nephele	f	V4	P5	monofide	223.99			4.72		
20237	Heterosais	nephele	f	V4	P6	monofide	186.02			4.11		
20237	Heterosais	nephele	f	V4	P7	monofide	216.18			5.01		
20237	Heterosais	nephele	f	V4	P8	monofide	199.44			5.22		
20237	Heterosais	nephele	f	V4	P9	monofide	164.92			4.06		
20237	Heterosais	nephele	f	V4	P10	monofide	232.31			4.82		
20369	Heterosais	nephele	m	V3	P1	bifide	101.33	96.52	13.11	4.44	2.71	3.27
20369	Heterosais	nephele	m	V3	P2	bifide	99.2	116.01	21.35	4.8	3.19	3.36
20369	Heterosais	nephele	m	V3	P3	bifide	102.7	94.89	16.04	4.31	3.01	2.91
20369	Heterosais	nephele	m	V3	P4	bifide	87.94	105.28	15.58	3.92	3.19	2.96
20369	Heterosais	nephele	m	V3	P5	bifide	122.41	113.56	20.48	4.26	3.13	3.11
